frame,throttle,steer,brake
220,0.0,-0.11294224113225937,1.0
221,0.0,-0.11428280919790268,1.0
222,0.0,-0.1083374097943306,1.0
223,0.0,-0.11025762557983398,1.0
224,0.0,-0.0980890765786171,1.0
225,0.0,-0.10225283354520798,1.0
226,0.0,-0.09661122411489487,1.0
227,0.0,-0.07746439427137375,1.0
228,0.0,-0.06650444120168686,1.0
229,0.0,-0.07221095263957977,1.0
230,0.0,-0.06647564470767975,1.0
231,0.0,-0.05859599635004997,1.0
232,0.0,-0.054365310817956924,1.0
233,0.0,-0.057627078145742416,1.0
234,0.0,-0.043518006801605225,1.0
235,0.0,-0.04021403193473816,1.0
236,0.0,-0.038536641746759415,1.0
237,0.0,-0.041302815079689026,1.0
238,0.0,-0.0332334041595459,1.0
239,0.0,-0.02989417314529419,1.0
240,0.0,-0.031030889600515366,1.0
241,0.0,-0.02414141409099102,1.0
242,0.0,-0.02229055017232895,1.0
243,0.0,-0.027135131880640984,1.0
244,0.0,-0.04376077651977539,1.0
245,0.0,-0.03294367343187332,1.0
246,0.0,-0.019606417044997215,1.0
247,0.0,0.011919456534087658,1.0
248,0.0,-0.011861301958560944,1.0
249,0.0,-0.05451225861907005,1.0
250,0.0,0.03896206617355347,1.0
251,0.0,-0.06033475697040558,1.0
252,0.0,-0.051773253828287125,1.0
253,0.0,-0.019934669137001038,1.0
254,0.0,-0.01743762567639351,1.0
255,0.0,-0.020426150411367416,1.0
256,0.0,-0.01991185173392296,1.0
257,0.0,-0.021814892068505287,1.0
258,0.0,-0.023074833676218987,1.0
259,0.0,-0.015519515611231327,1.0
260,0.0,-0.009751539677381516,1.0
261,0.0,-0.013907156884670258,1.0
262,0.0,-0.021582674235105515,1.0
263,0.0,-0.034697309136390686,1.0
264,0.0,-0.05851227417588234,1.0
265,0.0,-0.07707081735134125,1.0
266,0.0,-0.022248268127441406,1.0
267,0.0,-0.04157112538814545,1.0
268,0.0,-0.051293399184942245,1.0
269,0.0,-0.05545342341065407,1.0
270,0.0,-0.05348668992519379,1.0
271,0.0,-0.049325380474328995,1.0
272,0.0,-0.06436444073915482,1.0
273,0.0,-0.07139021158218384,1.0
274,0.0,-0.0820692926645279,1.0
275,0.0,-0.09055747091770172,1.0
276,0.0,-0.5825830698013306,1.0
277,0.75,0.07808458805084229,0.0
278,0.75,-0.028530849143862724,0.0
279,0.75,-0.03156447410583496,0.0
280,0.75,-0.031995490193367004,0.0
281,0.75,-0.030875684693455696,0.0
282,0.75,-0.029638035222887993,0.0
283,0.75,-0.030542565509676933,0.0
284,0.75,-0.02838386595249176,0.0
285,0.75,-0.03058706969022751,0.0
286,0.75,-0.03316430747509003,0.0
287,0.75,-0.02948972024023533,0.0
288,0.75,-0.034122616052627563,0.0
289,0.75,-0.029619133099913597,0.0
290,0.75,-0.02910604514181614,0.0
291,0.75,-0.02877141535282135,0.0
292,0.75,-0.033166784793138504,0.0
293,0.75,-0.025780532509088516,0.0
294,0.0,-0.030293714255094528,0.0
295,0.058046337217092514,-0.02799263596534729,0.0
296,0.0,-0.02207552082836628,1.0
297,0.0,-0.022316791117191315,1.0
298,0.0,-0.03570966050028801,1.0
299,0.0,-0.03003864921629429,1.0
300,0.058046337217092514,-0.02682247757911682,0.0
301,0.058046337217092514,-0.03359843045473099,0.0
302,0.0,-0.036976344883441925,1.0
303,0.0,-0.04199440777301788,1.0
304,0.0,-0.04882604256272316,1.0
305,0.0,-0.04053591564297676,1.0
306,0.0,-0.040423281490802765,1.0
307,0.0,-0.007925590500235558,1.0
308,0.0,-0.049122702330350876,1.0
309,0.0,-0.03286249563097954,1.0
310,0.0,0.008242110721766949,1.0
311,0.0,0.038258641958236694,1.0
312,0.0,-0.014267939142882824,1.0
313,0.0,-0.0451851412653923,1.0
314,0.0,-0.04272894561290741,1.0
315,0.0,-0.04795192927122116,1.0
316,0.05312500149011612,-0.04509935528039932,0.0
317,0.0,-0.04655095189809799,1.0
318,0.0,-0.020163757726550102,1.0
319,0.04374999925494194,-0.05452723801136017,0.0
320,0.0,-0.04926278442144394,1.0
321,0.0,-0.04299364984035492,1.0
322,0.0,-0.054542578756809235,1.0
323,0.0,-0.046671632677316666,1.0
324,0.0,0.011385721154510975,1.0
325,0.0,-0.0537894181907177,1.0
326,0.0,-0.12434360384941101,1.0
327,0.0,-0.11424361914396286,1.0
328,0.0,-0.14322689175605774,1.0
329,0.0,-0.17916153371334076,1.0
330,0.0,-0.1645817905664444,1.0
331,0.0,-0.17329539358615875,1.0
332,0.0,-0.208766371011734,1.0
333,0.0,-0.22110584378242493,1.0
334,0.0,-0.21649479866027832,1.0
335,0.0,-0.22491635382175446,1.0
336,0.0,-0.1932126134634018,1.0
337,0.0,-0.19173899292945862,1.0
338,0.0,-0.2409912496805191,1.0
339,0.0,-0.261539101600647,1.0
340,0.0,-0.24833038449287415,1.0
341,0.0,-0.23797684907913208,0.0
342,0.0,-0.27280616760253906,1.0
343,0.0,-0.2913726270198822,1.0
344,0.0,-0.33345603942871094,1.0
345,0.0,-0.30058565735816956,1.0
346,0.0,-0.325612872838974,1.0
347,0.0,-0.33083710074424744,1.0
348,0.0,-0.3200813829898834,1.0
349,0.0,-0.2838784158229828,1.0
350,0.0,-0.2871799170970917,1.0
351,0.0,-0.3336849510669708,1.0
352,0.0,-0.42675554752349854,1.0
353,0.0,-0.4760667085647583,1.0
354,0.0,-0.3370833098888397,1.0
355,0.0,-0.38318756222724915,1.0
356,0.0,-0.4159121513366699,1.0
357,0.0,-0.38080552220344543,1.0
358,0.0,-0.44121819734573364,1.0
359,0.0,-0.34218335151672363,1.0
360,0.0,-0.4267365336418152,1.0
361,0.0,-0.46245139837265015,1.0
362,0.0,-0.3220670819282532,1.0
363,0.0,-0.3270168900489807,1.0
364,0.0,-0.36324387788772583,1.0
365,0.0,-0.3445267379283905,1.0
366,0.0,-0.2640555799007416,1.0
367,0.0,-0.29698482155799866,1.0
368,0.0,-0.7153086066246033,1.0
369,0.0,-0.22196339070796967,1.0
370,0.0,-0.27794960141181946,1.0
371,0.0,1.0,1.0
372,0.0,-0.800703763961792,1.0
373,0.0,-0.14495432376861572,1.0
374,0.0,-0.020277030766010284,1.0
375,0.0,-0.08880162984132767,1.0
376,0.0,-0.034601930528879166,1.0
377,0.0,-0.08674801141023636,1.0
378,0.0,-0.10232816636562347,1.0
379,0.0,-0.08558951318264008,1.0
380,0.0,-0.034141503274440765,1.0
381,0.0,0.17510317265987396,1.0
382,0.0,1.0,1.0
383,0.0,1.0,1.0
384,0.0,1.0,1.0
385,0.0,1.0,1.0
386,0.0,1.0,1.0
387,0.0,1.0,1.0
388,0.0,1.0,1.0
389,0.0,1.0,1.0
390,0.0,1.0,1.0
391,0.0,1.0,1.0
392,0.0,1.0,1.0
393,0.0,1.0,1.0
394,0.0,0.9338692426681519,1.0
395,0.0,1.0,1.0
396,0.0,1.0,1.0
397,0.0,1.0,1.0
398,0.0,0.5396778583526611,1.0
